iter	Passed	Remaining
0	164	164715
1	166	83153
2	168	55874
3	169	42263
4	171	34091
5	172	28647
6	174	24758
7	177	21965
8	179	19797
9	181	17947
10	182	16431
11	184	15163
12	185	14086
13	187	13178
14	188	12400
15	190	11725
16	192	11151
17	205	11198
18	219	11312
19	222	10925
20	242	11325
21	252	11212
22	259	11029
23	264	10756
24	266	10409
25	269	10079
26	270	9753
27	272	9449
28	276	9244
29	277	8988
30	279	8745
31	283	8569
32	285	8362
33	291	8271
34	293	8085
35	296	7932
36	309	8051
37	311	7892
38	313	7725
39	315	7565
40	317	7415
41	319	7284
42	321	7150
43	322	7017
44	324	6892
45	326	6768
46	327	6646
47	329	6531
48	330	6420
49	332	6316
50	334	6215
51	335	6117
52	337	6026
53	338	5934
54	340	5846
55	342	5770
56	344	5693
57	346	5622
58	347	5547
59	349	5480
60	351	5412
61	353	5346
62	355	5283
63	356	5219
64	359	5164
65	361	5118
66	363	5066
67	365	5014
68	386	5214
69	389	5174
70	391	5116
71	392	5063
72	395	5020
73	397	4970
74	405	5002
75	411	4999
76	435	5219
77	438	5185
78	442	5158
79	444	5110
80	446	5063
81	448	5016
82	448	4960
83	451	4923
84	461	4964
85	463	4930
86	465	4886
87	467	4844
88	472	4835
89	483	4885
90	493	4926
91	500	4935
92	503	4913
93	513	4949
94	519	4949
95	521	4912
96	525	4892
97	534	4920
98	537	4894
99	539	4856
100	559	4979
101	562	4950
102	565	4923
103	567	4885
104	568	4847
105	572	4828
106	574	4794
107	577	4768
108	579	4738
109	581	4703
110	583	4672
111	593	4703
112	594	4667
113	596	4635
114	598	4609
115	602	4588
116	605	4567
117	608	4548
118	609	4514
119	611	4486
120	615	4468
121	623	4488
122	625	4458
123	626	4427
124	628	4397
125	629	4367
126	640	4406
127	642	4377
128	644	4350
129	648	4339
130	650	4312
131	651	4285
132	653	4261
133	655	4237
134	657	4211
135	659	4187
136	666	4196
137	668	4172
138	669	4146
139	670	4120
140	672	4097
141	673	4070
142	679	4073
143	682	4056
144	683	4033
145	685	4009
146	687	3988
147	689	3968
148	691	3949
149	694	3937
150	696	3918
151	698	3897
152	700	3879
153	702	3860
154	711	3880
155	715	3869
156	716	3849
157	718	3828
158	724	3832
159	727	3819
160	728	3798
161	730	3779
162	732	3759
163	734	3741
164	736	3724
165	738	3708
166	739	3689
167	741	3672
168	743	3656
169	754	3685
170	756	3667
171	758	3651
172	782	3742
173	786	3733
174	788	3717
175	793	3713
176	795	3697
177	798	3686
178	800	3669
179	801	3652
180	803	3634
181	804	3616
182	811	3622
183	814	3609
184	815	3593
185	817	3578
186	819	3562
187	827	3574
188	829	3558
189	830	3541
190	832	3527
191	834	3512
192	845	3534
193	846	3518
194	848	3504
195	851	3491
196	853	3479
197	855	3466
198	858	3454
199	859	3438
200	861	3424
201	863	3410
202	866	3401
203	868	3389
204	871	3379
205	873	3365
206	874	3350
207	876	3336
208	878	3323
209	888	3342
210	890	3328
211	891	3314
212	893	3299
213	904	3323
214	906	3309
215	908	3298
216	921	3326
217	923	3313
218	928	3309
219	930	3299
220	933	3290
221	935	3278
222	938	3268
223	997	3454
224	1001	3449
225	1010	3460
226	1013	3451
227	1016	3440
228	1018	3428
229	1031	3453
230	1033	3441
231	1050	3476
232	1053	3468
233	1055	3456
234	1061	3455
235	1063	3441
236	1065	3428
237	1069	3424
238	1111	3540
239	1117	3539
240	1119	3525
241	1120	3510
242	1122	3496
243	1124	3482
244	1125	3469
245	1127	3456
246	1134	3459
247	1136	3447
248	1138	3433
249	1140	3420
250	1141	3407
251	1144	3397
252	1148	3390
253	1149	3377
254	1151	3364
255	1153	3351
256	1155	3341
257	1165	3350
258	1167	3338
259	1169	3327
260	1171	3316
261	1173	3305
262	1180	3307
263	1182	3296
264	1184	3285
265	1187	3277
266	1198	3290
267	1200	3278
268	1202	3268
269	1206	3262
270	1209	3254
271	1211	3243
272	1213	3232
273	1215	3220
274	1217	3209
275	1226	3218
276	1228	3206
277	1231	3198
278	1235	3191
279	1237	3182
280	1239	3172
281	1241	3160
282	1243	3150
283	1245	3139
284	1247	3128
285	1258	3141
286	1260	3130
287	1262	3120
288	1265	3113
289	1267	3103
290	1270	3096
291	1272	3086
292	1274	3075
293	1276	3065
294	1278	3055
295	1286	3060
296	1288	3050
297	1290	3040
298	1292	3030
299	1296	3024
300	1298	3015
301	1300	3006
302	1302	2995
303	1304	2985
304	1306	2977
305	1308	2967
306	1318	2976
307	1320	2966
308	1322	2956
309	1324	2948
310	1328	2943
311	1330	2933
312	1331	2923
313	1333	2913
314	1335	2904
315	1337	2895
316	1350	2909
317	1352	2900
318	1353	2890
319	1356	2882
320	1358	2874
321	1361	2866
322	1362	2856
323	1364	2846
324	1365	2836
325	1367	2827
326	1369	2818
327	1375	2818
328	1377	2808
329	1378	2799
330	1380	2790
331	1382	2781
332	1383	2772
333	1392	2777
334	1394	2768
335	1396	2759
336	1398	2750
337	1399	2741
338	1404	2738
339	1407	2732
340	1409	2723
341	1410	2713
342	1412	2705
343	1414	2697
344	1416	2689
345	1418	2680
346	1419	2671
347	1421	2662
348	1422	2653
349	1424	2645
350	1425	2636
351	1427	2628
352	1442	2644
353	1444	2635
354	1472	2675
355	1475	2669
356	1477	2660
357	1486	2666
358	1493	2666
359	1503	2672
360	1505	2664
361	1507	2656
362	1508	2647
363	1510	2639
364	1512	2631
365	1516	2626
366	1518	2618
367	1519	2610
368	1521	2602
369	1523	2594
370	1529	2593
371	1531	2584
372	1532	2576
373	1534	2568
374	1535	2559
375	1537	2551
376	1538	2542
377	1541	2536
378	1543	2529
379	1545	2521
380	1546	2513
381	1548	2505
382	1550	2497
383	1552	2489
384	1558	2489
385	1560	2481
386	1561	2473
387	1563	2465
388	1564	2458
389	1566	2450
390	1579	2459
391	1580	2451
392	1582	2444
393	1583	2436
394	1586	2429
395	1587	2421
396	1590	2415
397	1592	2408
398	1594	2401
399	1595	2393
400	1596	2385
401	1598	2377
402	1600	2371
403	1602	2363
404	1604	2357
405	1607	2351
406	1609	2344
407	1610	2336
408	1612	2329
409	1613	2322
410	1615	2315
411	1617	2308
412	1627	2312
413	1628	2305
414	1630	2298
415	1632	2291
416	1639	2292
417	1642	2287
418	1644	2280
419	1646	2274
420	1649	2267
421	1651	2261
422	1654	2257
423	1657	2252
424	1659	2244
425	1660	2237
426	1662	2230
427	1663	2223
428	1665	2216
429	1667	2210
430	1670	2205
431	1671	2198
432	1673	2191
433	1674	2184
434	1676	2177
435	1678	2171
436	1680	2164
437	1687	2165
438	1689	2158
439	1690	2151
440	1692	2145
441	1694	2139
442	1696	2133
443	1698	2126
